idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2390759,2026-04-23 08:45:00,Round 0,Yokohama DeNA BayStars,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/re5zv61648817492.jpg
2390760,2026-04-23 09:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390761,2026-04-23 09:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/xfj24v1648817687.jpg
2390762,2026-04-23 09:00:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390763,2026-04-23 09:00:00,Round 0,Chiba Lotte Marines,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/387a2o1648817683.jpg
2390764,2026-04-24 09:00:00,Round 0,Chunichi Dragons,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/gpb7oi1648817513.jpg
2390765,2026-04-24 09:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390766,2026-04-24 09:00:00,Round 0,Yokohama DeNA BayStars,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/0hpb3l1648817500.jpg
2390768,2026-04-25 04:00:00,Round 0,Fukuoka SoftBank Hawks,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/tphh2k1648817687.jpg
2390767,2026-04-25 05:00:00,Round 0,Chunichi Dragons,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/gpb7oi1648817513.jpg
2390769,2026-04-25 05:00:00,Round 0,Hanshin Tigers,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/6lzdbv1648817517.jpg
2390770,2026-04-25 05:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390771,2026-04-25 05:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/j0ppla1648817689.jpg
2390772,2026-04-25 05:00:00,Round 0,Yokohama DeNA BayStars,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/0hpb3l1648817500.jpg
2390774,2026-04-26 04:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/j0ppla1648817689.jpg
2390775,2026-04-26 04:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390777,2026-04-26 04:30:00,Round 0,Chunichi Dragons,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/gpb7oi1648817513.jpg
2390773,2026-04-26 05:00:00,Round 0,Yokohama DeNA BayStars,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/0hpb3l1648817500.jpg
2390776,2026-04-26 05:00:00,Round 0,Hanshin Tigers,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/6lzdbv1648817517.jpg
2390778,2026-04-26 05:00:00,Round 0,Fukuoka SoftBank Hawks,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/tphh2k1648817687.jpg
2390782,2026-04-28 04:00:00,Round 0,Saitama Seibu Lions,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/7g98zy1648817675.jpg
2390779,2026-04-28 09:00:00,Round 0,Chiba Lotte Marines,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/q038mx1648817663.jpg
2390780,2026-04-28 09:00:00,Round 0,Chunichi Dragons,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/y29f7q1648817495.jpg
2390781,2026-04-28 09:00:00,Round 0,Orix Buffaloes,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/nwi0dg1648817682.jpg
2390783,2026-04-28 09:00:00,Round 0,Tokyo Yakult Swallows,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2390784,2026-04-28 09:00:00,Round 0,Yomiuri Giants,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/o8mc471648817502.jpg
2390785,2026-04-29 05:00:00,Round 0,Tokyo Yakult Swallows,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2390787,2026-04-29 05:00:00,Round 0,Chunichi Dragons,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/y29f7q1648817495.jpg
2390788,2026-04-29 05:00:00,Round 0,Saitama Seibu Lions,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/7g98zy1648817675.jpg
2390789,2026-04-29 05:00:00,Round 0,Orix Buffaloes,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/nwi0dg1648817682.jpg
2390790,2026-04-29 05:00:00,Round 0,Chiba Lotte Marines,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/q038mx1648817663.jpg
2390786,2026-04-29 09:00:00,Round 0,Yomiuri Giants,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/o8mc471648817502.jpg
2390791,2026-04-30 09:00:00,Round 0,Chunichi Dragons,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/y29f7q1648817495.jpg
2390792,2026-04-30 09:00:00,Round 0,Saitama Seibu Lions,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/7g98zy1648817675.jpg
2390793,2026-04-30 09:00:00,Round 0,Tokyo Yakult Swallows,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2390794,2026-04-30 09:00:00,Round 0,Yomiuri Giants,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/o8mc471648817502.jpg
2390795,2026-05-01 09:00:00,Round 0,Hiroshima Toyo Carp,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/wy09dg1648817499.jpg
2390796,2026-05-01 09:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/smwzkt1648817673.jpg
2390797,2026-05-01 09:00:00,Round 0,Tokyo Yakult Swallows,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/8tjw0b1648817528.jpg
2390798,2026-05-01 09:00:00,Round 0,Hanshin Tigers,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/h86fqk1648817525.jpg
2390799,2026-05-01 09:00:00,Round 0,Chiba Lotte Marines,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/wvjfsh1648817678.jpg
2390800,2026-05-01 09:00:00,Round 0,Fukuoka SoftBank Hawks,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/5t30lh1648817673.jpg
2390801,2026-05-02 05:00:00,Round 0,Chiba Lotte Marines,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/wvjfsh1648817678.jpg
2390802,2026-05-02 05:00:00,Round 0,Fukuoka SoftBank Hawks,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/5t30lh1648817673.jpg
2390803,2026-05-02 05:00:00,Round 0,Hanshin Tigers,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/h86fqk1648817525.jpg
2390804,2026-05-02 05:00:00,Round 0,Hiroshima Toyo Carp,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/wy09dg1648817499.jpg
2390805,2026-05-02 05:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/smwzkt1648817673.jpg
2390806,2026-05-02 09:00:00,Round 0,Tokyo Yakult Swallows,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/8tjw0b1648817528.jpg
2390809,2026-05-03 04:00:00,Round 0,Hokkaido Nippon-Ham Fighters,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/smwzkt1648817673.jpg
